date,state_name,state_code,region,wind_energy,solar_energy,other_renewable_energy,total_renewable_energy
2020-05-23,All India,99,Unknown,247.71,174.43,39.37,461.51
2020-05-24,All India,99,Unknown,248.7,172.91,38.4,460.01
2020-05-25,All India,99,Unknown,245.6,171.75,37.85,455.2
2020-05-26,All India,99,Unknown,286.33,171.24,38.09,495.66
2020-05-27,All India,99,Unknown,327.5,170.54,38.01,536.05
2020-05-28,All India,99,Unknown,346.0,172.18,40.7,558.88
2020-05-29,All India,99,Unknown,320.32,168.06,23.41,511.79
2020-05-30,All India,99,Unknown,212.02,152.46,24.18,388.66
2020-06-05,All India,99,Unknown,226.65,142.33,33.82,402.8
2020-06-06,All India,99,Unknown,242.88,160.08,33.4,436.36
2020-06-07,All India,99,Unknown,252.76,156.43,33.02,442.21
2020-06-08,All India,99,Unknown,246.04,166.87,33.24,446.15
2020-06-09,All India,99,Unknown,249.73,163.34,29.79,442.86
2020-06-10,All India,99,Unknown,277.1,143.62,29.94,450.66
2020-06-11,All India,99,Unknown,276.18,110.97,31.71,418.86
2020-06-12,All India,99,Unknown,253.79,126.01,32.43,412.23
2020-06-13,All India,99,Unknown,240.65,129.75,34.35,404.75
2020-06-14,All India,99,Unknown,257.22,138.05,34.4,429.67
2020-06-15,All India,99,Unknown,292.89,147.12,33.78,473.79
2020-06-16,All India,99,Unknown,304.32,140.54,32.65,477.51
2020-06-17,All India,99,Unknown,336.0,133.84,33.5,503.34
2020-06-18,All India,99,Unknown,348.9,136.27,33.19,518.36
2020-06-19,All India,99,Unknown,368.16,145.08,32.49,545.73
2020-06-20,All India,99,Unknown,353.43,153.01,35.05,541.49
2020-06-21,All India,99,Unknown,315.86,129.86,32.64,478.36
2020-06-22,All India,99,Unknown,274.39,141.16,34.42,449.97
2020-06-23,All India,99,Unknown,225.82,160.24,33.23,419.29
2020-06-24,All India,99,Unknown,143.34,153.84,33.83,331.01
2020-06-25,All India,99,Unknown,144.18,165.84,33.11,343.13
2020-06-26,All India,99,Unknown,184.76,152.63,31.62,369.01
2020-06-27,All India,99,Unknown,233.28,146.3,33.49,413.07
2020-06-28,All India,99,Unknown,239.64,143.42,34.74,417.8
2020-06-29,All India,99,Unknown,182.01,148.1,29.38,359.49
2020-06-30,All India,99,Unknown,146.67,147.59,34.09,328.35
2020-07-01,All India,99,Unknown,231.31,152.42,29.28,413.01
2020-07-02,All India,99,Unknown,294.16,151.27,29.96,475.39
2020-07-03,All India,99,Unknown,321.59,145.81,29.7,497.1
2020-07-04,All India,99,Unknown,306.02,129.55,30.81,466.38
2020-07-05,All India,99,Unknown,263.2,108.37,29.68,401.25
2020-07-06,All India,99,Unknown,322.84,115.61,30.88,469.33
2020-07-07,All India,99,Unknown,301.21,136.32,33.49,471.02
2020-07-08,All India,99,Unknown,237.45,140.95,31.54,409.94
2020-07-09,All India,99,Unknown,183.03,132.89,32.24,348.16
2020-07-10,All India,99,Unknown,249.87,128.57,31.77,410.21
2020-07-11,All India,99,Unknown,255.74,150.68,30.84,437.26
2020-07-12,All India,99,Unknown,289.1,149.84,32.3,471.24
2020-07-13,All India,99,Unknown,184.84,147.83,27.53,360.2
2020-07-14,All India,99,Unknown,162.13,122.08,32.45,316.66
2020-07-15,All India,99,Unknown,196.87,109.62,32.79,339.28
2020-07-16,All India,99,Unknown,219.69,118.52,32.76,370.97
2020-07-17,All India,99,Unknown,219.95,141.67,32.77,394.39
2020-07-18,All India,99,Unknown,132.51,148.87,33.31,314.69
2020-07-19,All India,99,Unknown,162.99,147.71,32.78,343.48
2020-07-20,All India,99,Unknown,205.15,145.27,32.71,383.13
